sample,strategy,direction,regime,confirmation_level,cohort,n,wins,losses,wr_pct,avg_r,rr_multiple,breakeven_wr_pct,delta_wr_minus_breakeven_pp,sample_status,levels_present
blended,overheated_confirmed,LONG,bull,all,overheated_confirmed|LONG|bull,221,95,126,42.98642533936651,0.2833223931759952,,,,ready,"1/3,2/3,3/3"
confirmation_level,overheated_confirmed,LONG,bull,1/3,overheated_confirmed|LONG|bull|1/3,200,89,111,44.5,0.3536751140231327,2.0,33.333333333333336,11.166666666666664,ready,1/3
confirmation_level,overheated_confirmed,LONG,bull,2/3,overheated_confirmed|LONG|bull|2/3,16,4,12,25.0,-0.4243511000986855,1.5,40.0,-15.0,insufficient,2/3
confirmation_level,overheated_confirmed,LONG,bull,3/3,overheated_confirmed|LONG|bull|3/3,5,2,3,40.0,-0.2662312622305335,1.0,50.0,-10.0,insufficient,3/3
blended,overheated_confirmed,LONG,bear,all,overheated_confirmed|LONG|bear,0,0,0,,,,,,insufficient,
confirmation_level,overheated_confirmed,LONG,bear,1/3,overheated_confirmed|LONG|bear|1/3,0,0,0,,,2.0,33.333333333333336,,insufficient,
confirmation_level,overheated_confirmed,LONG,bear,2/3,overheated_confirmed|LONG|bear|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,overheated_confirmed,LONG,bear,3/3,overheated_confirmed|LONG|bear|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,overheated_confirmed,LONG,unknown,all,overheated_confirmed|LONG|unknown,52,15,37,28.846153846153847,-0.15690688895008867,,,,ready,"1/3,2/3,3/3"
confirmation_level,overheated_confirmed,LONG,unknown,1/3,overheated_confirmed|LONG|unknown|1/3,47,14,33,29.78723404255319,-0.11847473395469756,2.0,33.333333333333336,-3.5460992907801447,ready,1/3
confirmation_level,overheated_confirmed,LONG,unknown,2/3,overheated_confirmed|LONG|unknown|2/3,4,1,3,25.0,-0.39771143238345635,1.5,40.0,-15.0,insufficient,2/3
confirmation_level,overheated_confirmed,LONG,unknown,3/3,overheated_confirmed|LONG|unknown|3/3,1,0,1,0.0,-1.0,1.0,50.0,-50.0,insufficient,3/3
blended,overheated_confirmed,SHORT,bull,all,overheated_confirmed|SHORT|bull,0,0,0,,,,,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bull,1/3,overheated_confirmed|SHORT|bull|1/3,0,0,0,,,2.0,33.333333333333336,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bull,2/3,overheated_confirmed|SHORT|bull|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bull,3/3,overheated_confirmed|SHORT|bull|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,overheated_confirmed,SHORT,bear,all,overheated_confirmed|SHORT|bear,0,0,0,,,,,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bear,1/3,overheated_confirmed|SHORT|bear|1/3,0,0,0,,,2.0,33.333333333333336,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bear,2/3,overheated_confirmed|SHORT|bear|2/3,0,0,0,,,1.5,40.0,,insufficient,
confirmation_level,overheated_confirmed,SHORT,bear,3/3,overheated_confirmed|SHORT|bear|3/3,0,0,0,,,1.0,50.0,,insufficient,
blended,overheated_confirmed,SHORT,unknown,all,overheated_confirmed|SHORT|unknown,0,0,0,,,,,,insufficient,
confirmation_level,overheated_confirmed,SHORT,unknown,1/3,overheated_confirmed|SHORT|unknown|1/3,0,0,0,,,2.0,33.333333333333336,,insufficient,
