scope,strategy,direction,trend_regime,n,tp_n,sl_n,admin_n,other_n,tp_share_pct,sl_share_pct,admin_share_pct,other_share_pct,outcome_n,wr_pct,r_n,avg_r,sample_status
overall,ALL,LONG,bull,672,344,328,0,0,51.19047619047619,48.80952380952381,0.0,0.0,672,51.19047619047619,672,0.5641926717346352,ready
overall,ALL,LONG,bear,64,24,40,0,0,37.5,62.5,0.0,0.0,64,37.5,64,0.02185768844514803,ready
overall,ALL,LONG,unknown,558,54,139,0,365,9.67741935483871,24.910394265232974,0.0,65.41218637992831,193,27.979274611398964,193,-0.17354044558167,ready
overall,ALL,SHORT,bull,184,53,131,0,0,28.804347826086957,71.19565217391305,0.0,0.0,184,28.804347826086957,184,-0.24167229904082008,ready
overall,ALL,SHORT,bear,27,8,19,0,0,29.62962962962963,70.37037037037037,0.0,0.0,27,29.62962962962963,27,-0.11045227504044901,ready
overall,ALL,SHORT,unknown,181,9,37,0,135,4.972375690607735,20.441988950276244,0.0,74.58563535911603,46,19.565217391304348,46,-0.4477914803643113,ready
strategy,ema_cross_confirmed,LONG,bull,94,67,27,0,0,71.27659574468085,28.72340425531915,0.0,0.0,94,71.27659574468085,94,1.1801775786048956,ready
strategy,ema_cross_confirmed,LONG,bear,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,ema_cross_confirmed,LONG,unknown,148,6,21,0,121,4.054054054054054,14.18918918918919,0.0,81.75675675675676,27,22.22222222222222,27,-0.39338508038106823,ready
strategy,ema_cross_confirmed,SHORT,bull,50,11,39,0,0,22.0,78.0,0.0,0.0,50,22.0,50,-0.45850112046922753,ready
strategy,ema_cross_confirmed,SHORT,bear,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,ema_cross_confirmed,SHORT,unknown,142,2,5,0,135,1.408450704225352,3.5211267605633805,0.0,95.07042253521126,7,28.571428571428573,7,-0.1503311367385641,ready
strategy,overheated_early,LONG,bull,195,89,106,0,0,45.64102564102564,54.35897435897436,0.0,0.0,195,45.64102564102564,195,0.43557051513457606,ready
strategy,overheated_early,LONG,bear,2,1,1,0,0,50.0,50.0,0.0,0.0,2,50.0,2,0.515379771859008,insufficient
strategy,overheated_early,LONG,unknown,62,19,43,0,0,30.64516129032258,69.35483870967742,0.0,0.0,62,30.64516129032258,62,-0.08903622251226277,ready
strategy,overheated_early,SHORT,bull,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,overheated_early,SHORT,bear,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,overheated_early,SHORT,unknown,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,ema_cross,LONG,bull,162,93,69,0,0,57.407407407407405,42.592592592592595,0.0,0.0,162,57.407407407407405,162,0.7447548374918339,ready
strategy,ema_cross,LONG,bear,62,23,39,0,0,37.096774193548384,62.903225806451616,0.0,0.0,62,37.096774193548384,62,0.005937621238249318,ready
strategy,ema_cross,LONG,unknown,50,13,37,0,0,26.0,74.0,0.0,0.0,50,26.0,50,-0.20761213452902713,ready
strategy,ema_cross,SHORT,bull,134,42,92,0,0,31.34328358208955,68.65671641791045,0.0,0.0,134,31.34328358208955,134,-0.16076602238842916,ready
strategy,ema_cross,SHORT,bear,27,8,19,0,0,29.62962962962963,70.37037037037037,0.0,0.0,27,29.62962962962963,27,-0.11045227504044901,ready
strategy,ema_cross,SHORT,unknown,39,7,32,0,0,17.94871794871795,82.05128205128206,0.0,0.0,39,17.94871794871795,39,-0.5011817984509838,ready
strategy,overheated_confirmed,LONG,bull,221,95,126,0,0,42.98642533936651,57.01357466063349,0.0,0.0,221,42.98642533936651,221,0.2833223931759952,ready
strategy,overheated_confirmed,LONG,bear,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,overheated_confirmed,LONG,unknown,298,16,38,0,244,5.369127516778524,12.751677852348994,0.0,81.87919463087249,54,29.62962962962963,54,-0.12909363527336715,ready
strategy,overheated_confirmed,SHORT,bull,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,overheated_confirmed,SHORT,bear,0,0,0,0,0,,,,,0,,0,,insufficient
strategy,overheated_confirmed,SHORT,unknown,0,0,0,0,0,,,,,0,,0,,insufficient
