id,ts_open,ts_open_utc,symbol,direction,alert_type,is_shadow,signal_price,fix_cohort,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing,rsi_1h,rsi_bucket,up_count_12,trend_streak_candles,rsi_oversold_bucket,trend_start_ts,trend_delay_hours,trend_delay_bucket,rsi_source
2502,1787045803,2026-08-18T09:36:43+00:00,PRLUSDT,SHORT,high_rejection_short,1,0.44331,pre_fix,0.44331,0.4619928571428571,0.40594428571428576,sl_first,1787099400,2026-08-19T00:30:00+00:00,-1.0,stop_touch,no,,,28.3414,below_50%,tp,1787151653,0.36331,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2569,1787063200,2026-08-18T14:26:40+00:00,VCXUSDT,SHORT,high_rejection_short,1,41.79,pre_fix,41.79,45.1332,35.10359999999999,unresolved,1787149800,2026-08-19T14:30:00+00:00,0.15254845656855634,window_close,no,,,31.7616,below_50%,sl,1787585633,45.2,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2576,1787064979,2026-08-18T14:56:19+00:00,GPSUSDT,SHORT,high_rejection_short,1,0.017603,pre_fix,0.017603,0.018545285714285716,0.01571842857142857,sl_first,1787077800,2026-08-18T18:30:00+00:00,-1.0,stop_touch,no,,,21.4053,below_50%,tp,1787151653,0.011934,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2711,1787168837,2026-08-19T19:47:17+00:00,DOSUSDT,SHORT,high_rejection_short,1,0.266,pre_fix,0.266,0.2768857142857143,0.24422857142857146,tp_first,1787190300,2026-08-20T01:45:00+00:00,2.0,target_touch,no,,,23.1314,below_50%,tp,1787207222,0.2389,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2923,1787218530,2026-08-20T09:35:30+00:00,牛来USDT,SHORT,high_rejection_short,1,0.06583,pre_fix,0.06583,0.0710964,0.05529719999999999,sl_first,1787223600,2026-08-20T11:00:00+00:00,-1.0,stop_touch,yes,1787217257,overheated_confirmed,115.1235,at_or_above_50%,sl,1787223057,0.0710964,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2939,1787220630,2026-08-20T10:10:30+00:00,METUSDT,SHORT,high_rejection_short,1,0.2163,pre_fix,0.2163,0.22388571428571427,0.20112857142857143,sl_first,1787275800,2026-08-21T01:30:00+00:00,-1.0,stop_touch,no,,,35.2976,below_50%,sl,1787290361,0.2252,,missing,,0,missing,,,no_consecutive_trend,reconstructed
2987,1787226932,2026-08-20T11:55:32+00:00,ETHFIUSDT,SHORT,high_rejection_short,1,0.5633,pre_fix,0.5633,0.5814571428571429,0.5269857142857143,sl_first,1787313600,2026-08-21T12:00:00+00:00,-1.0,stop_touch,yes,1787225510,overheated_early,20.8755,below_50%,sl,1787313507,0.5829,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3132,1787237896,2026-08-20T14:58:16+00:00,ONGUSDT,SHORT,high_rejection_short,1,0.08193,pre_fix,0.08193,0.08725857142857144,0.07127285714285714,sl_first,1787256000,2026-08-20T20:00:00+00:00,-1.0,stop_touch,yes,1787235875,low_rejection_long,42.9442,below_50%,sl,1787255282,0.08726,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3171,1787244087,2026-08-20T16:41:27+00:00,PEOPLEUSDT,SHORT,high_rejection_short,1,0.009747,pre_fix,0.009747,0.010263428571428573,0.008714142857142856,sl_first,1787245200,2026-08-20T17:00:00+00:00,-1.0,stop_touch,no,,,28.1937,below_50%,sl,1787244823,0.010263428571428573,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3172,1787244100,2026-08-20T16:41:40+00:00,BRUSDT,SHORT,high_rejection_short,1,0.23785,pre_fix,0.23785,0.24960714285714286,0.2143357142857143,unresolved,1787330700,2026-08-21T16:45:00+00:00,-0.03827460510328119,window_close,no,,,19.4997,below_50%,tp,1787599202,0.2143357142857143,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3281,1787260478,2026-08-20T21:14:38+00:00,MOODENGUSDT,SHORT,high_rejection_short,1,0.04352,pre_fix,0.04352,0.04491571428571429,0.04072857142857143,sl_first,1787290200,2026-08-21T05:30:00+00:00,-1.0,stop_touch,no,,,20.3842,below_50%,sl,1787290411,0.04491571428571429,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3282,1787260487,2026-08-20T21:14:47+00:00,AVAAIUSDT,SHORT,high_rejection_short,1,0.021021,pre_fix,0.021021,0.022644,0.017775000000000003,tp_first,1787274900,2026-08-21T01:15:00+00:00,2.0,target_touch,no,,,61.9567,at_or_above_50%,tp,1787290361,0.013705,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3336,1787268306,2026-08-20T23:25:06+00:00,ONGUSDT,SHORT,high_rejection_short,1,0.08309,pre_fix,0.08309,0.0897372,0.06979559999999999,sl_first,1787271300,2026-08-21T00:15:00+00:00,-1.0,stop_touch,yes,1787265155,overheated_early,113.198,at_or_above_50%,sl,1787270760,0.09003,,missing,,0,missing,,,no_consecutive_trend,reconstructed
3412,1787296006,2026-08-21T07:06:46+00:00,BTWUSDT,SHORT,high_rejection_short,1,0.483383,pre_fix,0.483383,0.5220536400000001,0.40604171999999983,sl_first,1787297400,2026-08-21T07:30:00+00:00,-1.0,stop_touch,yes,1787294719,overheated_confirmed,95.3777,at_or_above_50%,sl,1787296659,0.5220536400000001,,missing,,0,missing,,,no_consecutive_trend,reconstructed
