symbol,cohort,ticker_notional_24h,ticker_rank,included_primary,event_capable,candle_15m_status,candle_15m_count,candle_15m_start_ts,candle_15m_end_ts,liquidation_status,flow_5m_status,reason
BTCUSDT,control,4549181028.0,2,False,False,complete,8768,1780276500,1788166800,not_requested,not_requested,
ETHUSDT,control,6250227835.0,1,False,True,complete,8768,1780276500,1788166800,not_requested,complete,
SOLUSDT,control,448911014.0,4,False,False,complete,8768,1780276500,1788166800,not_requested,not_requested,
ADAUSDT,primary,23538116.0,25,True,True,complete,8768,1780276500,1788166800,complete,complete,
AKEUSDT,primary,6203744.0,50,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
BMNRUSDT,primary,6296010.0,49,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
BTRUSDT,primary,35571799.0,18,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
DOGEUSDT,primary,53923310.0,13,True,True,complete,8768,1780276500,1788166800,complete,complete,
DRAMUSDT,primary,11941793.0,33,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
ENAUSDT,primary,13424148.0,32,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
HYPEUSDT,primary,39946488.0,16,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
INTCUSDT,primary,24093611.0,24,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
MSTRXUSDT,primary,10972538.0,36,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
MUUSDT,primary,27506759.0,21,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
PEPEUSDT,primary,27827550.0,20,True,True,complete,8768,1780276500,1788166800,complete,complete,
PROMUSDT,primary,16011954.0,29,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
PUMPUSDT,primary,10680969.0,37,True,True,complete,8768,1780276500,1788166800,complete,complete,
SNDKUSDT,primary,531695292.0,3,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
SOXLUSDT,primary,17760907.0,27,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
SPCXUSDT,primary,18437401.0,26,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
SUIUSDT,primary,24874280.0,23,True,True,complete,8768,1780276500,1788166800,complete,complete,
TAOUSDT,primary,7530323.0,43,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
TRUMPUSDT,primary,75026739.0,10,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
UNIUSDT,primary,37668720.0,17,True,True,complete,8768,1780276500,1788166800,not_requested,complete,
WLDUSDT,primary,11522681.0,35,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
XRPUSDT,primary,80086401.0,9,True,True,complete,8768,1780276500,1788166800,complete,complete,
ZECUSDT,primary,119192368.0,7,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
ZHIPUUSDT,primary,15704146.0,30,True,True,complete,8768,1780276500,1788166800,complete,incomplete,
