symbol,cohort,pump_ts,pump_utc,pump_episode_end_ts,support,pump_high,correction_ts,correction_utc,liq_window_start_ts,liq_window_end_ts,long_liq_notional_usd,hour_futures_notional_usd,liq_threshold_usd,flow_ts,flow_utc,flow_notional_usd,flow_baseline_median_usd,flow_threshold_usd,outcome_ts,outcome_utc,support_retest_ts,support_retest_utc,outcome,reason
WLDUSDT,primary,1780342200,2026-06-01T19:30:00+00:00,1780344000,,0.4458,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780348500,2026-06-01T21:15:00+00:00,1780352100,0.4056,0.4463,1780388100,2026-06-02T08:15:00+00:00,1780388100,1780391700,7622.2046000014325,1999824.9456,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
WLDUSDT,primary,1780353900,2026-06-01T22:45:00+00:00,1780353900,0.4056,0.4463,1780388100,2026-06-02T08:15:00+00:00,1780388100,1780391700,7622.2046000014325,1999824.9456,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
WLDUSDT,primary,1780470900,2026-06-03T07:15:00+00:00,1780472700,,0.4589,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780476300,2026-06-03T08:45:00+00:00,1780477200,,0.4663,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780479000,2026-06-03T09:30:00+00:00,1780501500,0.4705,0.5393,1780538400,2026-06-04T02:00:00+00:00,1780538400,1780542000,46622.920700003764,7860041.491999999,157200.82984,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
ENAUSDT,primary,1780481700,2026-06-03T10:15:00+00:00,1780486200,,0.10743,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
ENAUSDT,primary,1780495200,2026-06-03T14:00:00+00:00,1780495200,0.10019,0.1136,1780538400,2026-06-04T02:00:00+00:00,1780538400,1780542000,3694.4408700013323,1328270.4748,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
WLDUSDT,primary,1780503300,2026-06-03T16:15:00+00:00,1780505100,0.4705,0.543,1780538400,2026-06-04T02:00:00+00:00,1780538400,1780542000,46622.920700003764,7860041.491999999,157200.82984,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
PROMUSDT,primary,1780512300,2026-06-03T18:45:00+00:00,1780512300,,1.049,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780590600,2026-06-04T16:30:00+00:00,1780593300,0.5467,0.6313,1780594200,2026-06-04T17:30:00+00:00,1780594200,1780597800,14084.793199999316,6763504.667199999,135270.093344,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
WLDUSDT,primary,1780596900,2026-06-04T18:15:00+00:00,1780599600,0.5383,0.6313,1780600500,2026-06-04T19:15:00+00:00,1780600500,1780604100,45536.53070602886,2446223.9756,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
WLDUSDT,primary,1780601400,2026-06-04T19:30:00+00:00,1780603200,0.521,0.6313,1780604100,2026-06-04T20:15:00+00:00,1780604100,1780607700,28085.01649995832,2563824.7533,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
ZECUSDT,primary,1780671600,2026-06-05T15:00:00+00:00,1780671600,320.75,357.96,1780672500,2026-06-05T15:15:00+00:00,1780672500,1780676100,1783745.4799999995,7159993.2817,143199.86563400002,,,,,,,,,,not_reached,missing_5m_candle:1780676100
ZECUSDT,primary,1780689600,2026-06-05T20:00:00+00:00,1780696800,351.28,383.33,1780720200,2026-06-06T04:30:00+00:00,1780720200,1780723800,2165417.2299999995,7819433.1625,156388.66324999998,,,,,,,,,,not_reached,missing_5m_candle:1780723800
ZECUSDT,primary,1780702200,2026-06-05T23:30:00+00:00,1780705800,356.19,399.75,1780715700,2026-06-06T03:15:00+00:00,1780715700,1780719300,871437.6300000001,4402257.7926,100000.0,,,,,,,,,,not_reached,missing_5m_candle:1780719300
ZECUSDT,primary,1780712100,2026-06-06T02:15:00+00:00,1780712100,356.19,399.75,1780715700,2026-06-06T03:15:00+00:00,1780715700,1780719300,871437.6300000001,4402257.7926,100000.0,,,,,,,,,,not_reached,missing_5m_candle:1780719300
ZECUSDT,primary,1780713900,2026-06-06T02:45:00+00:00,1780714800,356.19,399.75,1780715700,2026-06-06T03:15:00+00:00,1780715700,1780719300,871437.6300000001,4402257.7926,100000.0,,,,,,,,,,not_reached,missing_5m_candle:1780719300
WLDUSDT,primary,1780794900,2026-06-07T01:15:00+00:00,1780796700,0.4153,0.4731,1780823700,2026-06-07T09:15:00+00:00,1780823700,1780827300,11590.576400001937,2218779.9820999997,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
ZECUSDT,primary,1780812900,2026-06-07T06:15:00+00:00,1780814700,,416.29,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780855200,2026-06-07T18:00:00+00:00,1780855200,0.4576,0.5133,1780858800,2026-06-07T19:00:00+00:00,1780858800,1780862400,5276.906400001304,1608730.2192,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
SOXLUSDT,primary,1780930800,2026-06-08T15:00:00+00:00,1780930800,,220.15,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
WLDUSDT,primary,1780941600,2026-06-08T18:00:00+00:00,1780949700,0.5032,0.5788,1780953300,2026-06-08T21:15:00+00:00,1780953300,1780956900,200798.22096678597,2413383.6825,100000.0,,,,,,,,,,not_reached,missing_5m_candle:1780956900
SOXLUSDT,primary,1781049600,2026-06-10T00:00:00+00:00,1781052300,186.64,205.01,1781065800,2026-06-10T04:30:00+00:00,1781065800,1781069400,0,110396.9566,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
SOXLUSDT,primary,1781208900,2026-06-11T20:15:00+00:00,1781208900,,225.46,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
SOXLUSDT,primary,1781212500,2026-06-11T21:15:00+00:00,1781212500,,225.46,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
SOXLUSDT,primary,1781217900,2026-06-11T22:45:00+00:00,1781217900,,228.83,,,,,,,,,,,,,,,,,not_reached,correction_not_found_in_12h
SOXLUSDT,primary,1781223300,2026-06-12T00:15:00+00:00,1781223300,210.94,231.12,1781247600,2026-06-12T07:00:00+00:00,1781247600,1781251200,2553.12,154819.2561,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
SOXLUSDT,primary,1781225100,2026-06-12T00:45:00+00:00,1781226000,210.94,234.0,1781247600,2026-06-12T07:00:00+00:00,1781247600,1781251200,2553.12,154819.2561,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
TRUMPUSDT,primary,1781256600,2026-06-12T09:30:00+00:00,1781270100,2.002,2.217,1781271000,2026-06-12T13:30:00+00:00,1781271000,1781274600,56676.84400000287,2213937.4229,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
TRUMPUSDT,primary,1781271900,2026-06-12T13:45:00+00:00,1781271900,1.967,2.217,1781272800,2026-06-12T14:00:00+00:00,1781272800,1781276400,15580.682000000452,2126505.3287,100000.0,,,,,,,,,,not_reached,long_liquidation_threshold_not_met
