contract,symbol,ticker_rank,ticker_notional_24h,cohort,event_capable,reason
ETH_USDT,ETHUSDT,1,6250227835.0,control,True,control
BTC_USDT,BTCUSDT,2,4549181028.0,control,False,control
SNDK_USDT,SNDKUSDT,3,531695292.0,primary,True,event_capable
SOL_USDT,SOLUSDT,4,448911014.0,control,False,control
SKHYNIX_USDT,SKHYNIXUSDT,5,251707292.0,excluded,False,no_15m_pump_in_lookback
XAU_USDT,XAUUSDT,6,207709261.0,excluded,False,no_15m_pump_in_lookback
ZEC_USDT,ZECUSDT,7,119192368.0,primary,True,event_capable
牛来_USDT,牛来USDT,8,85701059.0,excluded,False,no_15m_pump_in_lookback
XRP_USDT,XRPUSDT,9,80086401.0,primary,True,event_capable
TRUMP_USDT,TRUMPUSDT,10,75026739.0,primary,True,event_capable
QQQX_USDT,QQQXUSDT,11,71490943.0,excluded,False,no_15m_pump_in_lookback
XAG_USDT,XAGUSDT,12,67440099.0,excluded,False,no_15m_pump_in_lookback
DOGE_USDT,DOGEUSDT,13,53923310.0,primary,True,event_capable
SKR_USDT,SKRUSDT,14,43331124.0,excluded,False,no_15m_pump_in_lookback
CL_USDT,CLUSDT,15,41537117.0,excluded,False,no_15m_pump_in_lookback
HYPE_USDT,HYPEUSDT,16,39946488.0,primary,True,event_capable
UNI_USDT,UNIUSDT,17,37668720.0,primary,True,event_capable
BTR_USDT,BTRUSDT,18,35571799.0,primary,True,event_capable
HNT_USDT,HNTUSDT,19,31229105.0,excluded,False,no_15m_pump_in_lookback
PEPE_USDT,PEPEUSDT,20,27827550.0,primary,True,event_capable
MU_USDT,MUUSDT,21,27506759.0,primary,True,event_capable
BNB_USDT,BNBUSDT,22,25866023.0,excluded,False,no_15m_pump_in_lookback
SUI_USDT,SUIUSDT,23,24874280.0,primary,True,event_capable
INTC_USDT,INTCUSDT,24,24093611.0,primary,True,event_capable
ADA_USDT,ADAUSDT,25,23538116.0,primary,True,event_capable
SPCX_USDT,SPCXUSDT,26,18437401.0,primary,True,event_capable
SOXL_USDT,SOXLUSDT,27,17760907.0,primary,True,event_capable
CXMT_USDT,CXMTUSDT,28,17624233.0,excluded,False,no_15m_pump_in_lookback
PROM_USDT,PROMUSDT,29,16011954.0,primary,True,event_capable
ZHIPU_USDT,ZHIPUUSDT,30,15704146.0,primary,True,event_capable
XAUT_USDT,XAUTUSDT,31,13840577.0,excluded,False,no_15m_pump_in_lookback
ENA_USDT,ENAUSDT,32,13424148.0,primary,True,event_capable
DRAM_USDT,DRAMUSDT,33,11941793.0,primary,True,event_capable
SKHY_USDT,SKHYUSDT,34,11656518.0,excluded,False,no_15m_pump_in_lookback
WLD_USDT,WLDUSDT,35,11522681.0,primary,True,event_capable
MSTRX_USDT,MSTRXUSDT,36,10972538.0,primary,True,event_capable
PUMP_USDT,PUMPUSDT,37,10680969.0,primary,True,event_capable
ZKC_USDT,ZKCUSDT,38,10108303.0,excluded,False,no_15m_pump_in_lookback
LINK_USDT,LINKUSDT,39,9779841.0,excluded,False,no_15m_pump_in_lookback
BZ_USDT,BZUSDT,40,8465499.0,excluded,False,no_15m_pump_in_lookback
SAMSUNG_USDT,SAMSUNGUSDT,41,7985676.0,excluded,False,no_15m_pump_in_lookback
PONS_USDT,PONSUSDT,42,7827398.0,excluded,False,no_15m_pump_in_lookback
TAO_USDT,TAOUSDT,43,7530323.0,primary,True,event_capable
DGAI_USDT,DGAIUSDT,44,7236400.0,excluded,False,no_15m_pump_in_lookback
ZORA_USDT,ZORAUSDT,45,6963170.0,excluded,False,no_15m_pump_in_lookback
CRCLX_USDT,CRCLXUSDT,46,6931307.0,excluded,False,no_15m_pump_in_lookback
DELL_USDT,DELLUSDT,47,6674440.0,excluded,False,no_15m_pump_in_lookback
SOXS_USDT,SOXSUSDT,48,6318162.0,excluded,False,no_15m_pump_in_lookback
BMNR_USDT,BMNRUSDT,49,6296010.0,primary,True,event_capable
AKE_USDT,AKEUSDT,50,6203744.0,primary,True,event_capable
