symbol,cohort,ticker_notional_24h,ticker_rank,included_primary,event_capable,candle_15m_status,candle_15m_count,candle_15m_start_ts,candle_15m_end_ts,liquidation_status,flow_5m_status,reason
BTCUSDT,control,4782506681.0,2,False,False,complete,8787,1780276500,1788183900,not_requested,not_requested,
ETHUSDT,control,6443440136.0,1,False,True,complete,8787,1780276500,1788183900,not_requested,complete,
SOLUSDT,control,419168214.0,4,False,False,complete,8787,1780276500,1788183900,not_requested,not_requested,
ADAUSDT,primary,24009587.0,25,True,True,complete,8787,1780276500,1788183900,complete,complete,
BEUSDT,primary,9046839.0,43,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
BMNRUSDT,primary,8179648.0,46,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
BTRUSDT,primary,38130230.0,18,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
DOGEUSDT,primary,53395669.0,16,True,True,complete,8787,1780276500,1788183900,complete,complete,
DRAMUSDT,primary,15605695.0,32,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
ENAUSDT,primary,12722610.0,35,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
HYPEUSDT,primary,41560210.0,17,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
INTCUSDT,primary,28984208.0,20,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
MSTRXUSDT,primary,13737875.0,34,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
MUUSDT,primary,33417069.0,19,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
PEPEUSDT,primary,28743941.0,21,True,True,complete,8787,1780276500,1788183900,complete,complete,
PROMUSDT,primary,16511596.0,30,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
PUMPUSDT,primary,10549822.0,38,True,True,complete,8787,1780276500,1788183900,complete,complete,
SNDKUSDT,primary,726222128.0,3,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
SOXLUSDT,primary,26516355.0,23,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
SPCXUSDT,primary,54358918.0,14,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
SUIUSDT,primary,22555316.0,27,True,True,complete,8787,1780276500,1788183900,complete,complete,
TRUMPUSDT,primary,62739571.0,12,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
UNIUSDT,primary,28585520.0,22,True,True,complete,8787,1780276500,1788183900,not_requested,complete,
WLDUSDT,primary,11291477.0,36,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
XRPUSDT,primary,80369345.0,8,True,True,complete,8787,1780276500,1788183900,complete,complete,
ZECUSDT,primary,115130564.0,7,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
ZHIPUUSDT,primary,19836326.0,28,True,True,complete,8787,1780276500,1788183900,complete,incomplete,
