contract,symbol,ticker_rank,ticker_notional_24h,cohort,event_capable,reason
ETH_USDT,ETHUSDT,1,6443440136.0,control,True,control
BTC_USDT,BTCUSDT,2,4782506681.0,control,False,control
SNDK_USDT,SNDKUSDT,3,726222128.0,primary,True,event_capable
SOL_USDT,SOLUSDT,4,419168214.0,control,False,control
SKHYNIX_USDT,SKHYNIXUSDT,5,293169101.0,excluded,False,no_15m_pump_in_lookback
XAU_USDT,XAUUSDT,6,262071762.0,excluded,False,no_15m_pump_in_lookback
ZEC_USDT,ZECUSDT,7,115130564.0,primary,True,event_capable
XRP_USDT,XRPUSDT,8,80369345.0,primary,True,event_capable
QQQX_USDT,QQQXUSDT,9,79909357.0,excluded,False,no_15m_pump_in_lookback
XAG_USDT,XAGUSDT,10,79900556.0,excluded,False,no_15m_pump_in_lookback
牛来_USDT,牛来USDT,11,67888421.0,excluded,False,no_15m_pump_in_lookback
TRUMP_USDT,TRUMPUSDT,12,62739571.0,primary,True,event_capable
CL_USDT,CLUSDT,13,58889611.0,excluded,False,no_15m_pump_in_lookback
SPCX_USDT,SPCXUSDT,14,54358918.0,primary,True,event_capable
SKR_USDT,SKRUSDT,15,54338471.0,excluded,False,no_15m_pump_in_lookback
DOGE_USDT,DOGEUSDT,16,53395669.0,primary,True,event_capable
HYPE_USDT,HYPEUSDT,17,41560210.0,primary,True,event_capable
BTR_USDT,BTRUSDT,18,38130230.0,primary,True,event_capable
MU_USDT,MUUSDT,19,33417069.0,primary,True,event_capable
INTC_USDT,INTCUSDT,20,28984208.0,primary,True,event_capable
PEPE_USDT,PEPEUSDT,21,28743941.0,primary,True,event_capable
UNI_USDT,UNIUSDT,22,28585520.0,primary,True,event_capable
SOXL_USDT,SOXLUSDT,23,26516355.0,primary,True,event_capable
HNT_USDT,HNTUSDT,24,25227123.0,excluded,False,no_15m_pump_in_lookback
ADA_USDT,ADAUSDT,25,24009587.0,primary,True,event_capable
BNB_USDT,BNBUSDT,26,23806880.0,excluded,False,no_15m_pump_in_lookback
SUI_USDT,SUIUSDT,27,22555316.0,primary,True,event_capable
ZHIPU_USDT,ZHIPUUSDT,28,19836326.0,primary,True,event_capable
CXMT_USDT,CXMTUSDT,29,18001180.0,excluded,False,no_15m_pump_in_lookback
PROM_USDT,PROMUSDT,30,16511596.0,primary,True,event_capable
SKHY_USDT,SKHYUSDT,31,16218948.0,excluded,False,no_15m_pump_in_lookback
DRAM_USDT,DRAMUSDT,32,15605695.0,primary,True,event_capable
XAUT_USDT,XAUTUSDT,33,15030561.0,excluded,False,no_15m_pump_in_lookback
MSTRX_USDT,MSTRXUSDT,34,13737875.0,primary,True,event_capable
ENA_USDT,ENAUSDT,35,12722610.0,primary,True,event_capable
WLD_USDT,WLDUSDT,36,11291477.0,primary,True,event_capable
BZ_USDT,BZUSDT,37,10999515.0,excluded,False,no_15m_pump_in_lookback
PUMP_USDT,PUMPUSDT,38,10549822.0,primary,True,event_capable
PONS_USDT,PONSUSDT,39,10363089.0,excluded,False,no_15m_pump_in_lookback
ZORA_USDT,ZORAUSDT,40,9646954.0,excluded,False,no_15m_pump_in_lookback
LINK_USDT,LINKUSDT,41,9599797.0,excluded,False,no_15m_pump_in_lookback
SNXX_USDT,SNXXUSDT,42,9212262.0,excluded,False,no_15m_pump_in_lookback
BE_USDT,BEUSDT,43,9046839.0,primary,True,event_capable
SAMSUNG_USDT,SAMSUNGUSDT,44,8823051.0,excluded,False,no_15m_pump_in_lookback
NVDAX_USDT,NVDAXUSDT,45,8261798.0,excluded,False,no_15m_pump_in_lookback
BMNR_USDT,BMNRUSDT,46,8179648.0,primary,True,event_capable
CRCLX_USDT,CRCLXUSDT,47,8062359.0,excluded,False,no_15m_pump_in_lookback
DELL_USDT,DELLUSDT,48,8017487.0,excluded,False,no_15m_pump_in_lookback
SOXS_USDT,SOXSUSDT,49,7921373.0,excluded,False,no_15m_pump_in_lookback
DGAI_USDT,DGAIUSDT,50,7793336.0,excluded,False,no_15m_pump_in_lookback
