threshold_id,threshold_label,stricter_threshold_id,stricter_threshold_label,symbol,cohort,pump_ts,pump_utc,threshold_passed,long_liq_notional_usd,hour_futures_notional_usd,liq_threshold_usd,outcome,reason,stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",WLDUSDT,primary,1780479000,2026-06-03T09:30:00+00:00,True,46622.920700003764,7860041.491999999,39300.20746,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=WLD_USDT&interval=5m&from=1780455600&to=1780563599,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",WLDUSDT,primary,1780503300,2026-06-03T16:15:00+00:00,True,46622.920700003764,7860041.491999999,39300.20746,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=WLD_USDT&interval=5m&from=1780455600&to=1780563599,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",WLDUSDT,primary,1780596900,2026-06-04T18:15:00+00:00,True,45536.53070602886,2446223.9756,25000.0,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=WLD_USDT&interval=5m&from=1780517700&to=1780625699,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",WLDUSDT,primary,1780601400,2026-06-04T19:30:00+00:00,True,28085.01649995832,2563824.7533,25000.0,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=WLD_USDT&interval=5m&from=1780521300&to=1780629299,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",TRUMPUSDT,primary,1781275500,2026-06-12T14:45:00+00:00,True,45775.075,989658.6259999999,25000.0,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=TRUMP_USDT&interval=5m&from=1781205300&to=1781313299,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",ZHIPUUSDT,primary,1782091800,2026-06-22T01:30:00+00:00,True,33178.720000000016,79068.3528,25000.0,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=ZHIPU_USDT&interval=5m&from=1782009900&to=1782117899,large_5m_flow_stage
soft_25k_0_5pct,"$25,000 / 0.5%",soft_50k_1pct,"$50,000 / 1%",PROMUSDT,primary,1787329800,2026-08-21T16:30:00+00:00,True,32725.115,584446.2457,25000.0,success_retest_hold,flush_low_retested_and_15m_closed_above,resolved_outcome
soft_50k_1pct,"$50,000 / 1%",baseline_100k_2pct,"$100,000 / 2% (baseline)",TRUMPUSDT,primary,1781256600,2026-06-12T09:30:00+00:00,True,56676.84400000287,2213937.4229,50000.0,not_reached,missing_5m_coverage:candle_fetch_error:Gate request failed for /candlesticks: 400 Client Error: Bad Request for url: https://api.gateio.ws/api/v4/futures/usdt/candlesticks?contract=TRUMP_USDT&interval=5m&from=1781188200&to=1781296199,large_5m_flow_stage
soft_50k_1pct,"$50,000 / 1%",baseline_100k_2pct,"$100,000 / 2% (baseline)",TRUMPUSDT,primary,1787364900,2026-08-22T02:15:00+00:00,True,100770.12700000274,7734520.9037,77345.209037,success_continuation,continuation_high_above_large_flow_candle,resolved_outcome
soft_50k_1pct,"$50,000 / 1%",baseline_100k_2pct,"$100,000 / 2% (baseline)",SUIUSDT,primary,1787371200,2026-08-22T04:00:00+00:00,True,157016.11980000784,13731983.5636,137319.835636,success_continuation,continuation_high_above_large_flow_candle,resolved_outcome
