signal_id,strategy,symbol,direction,event_ts,event_utc,entry_price,baseline_sl_price,baseline_tp_price,baseline_risk_pct,baseline_reward_pct,baseline_source,parent_check_sl_pct,parent_check_tp_pct,parent_check_match,parent_check_db_id,variant,scale,outcome,outcome_ts,outcome_utc,outcome_reason,candle_source
overheated_24h-db-6495,overheated_24h,SKRUSDT,LONG,1788044414.0,2026-08-29T23:00:14+00:00,0.010649,0.009743535714285715,0.012459928571428571,8.502810458393139,17.005620916786278,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788063540,2026-08-30T04:19:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6495,overheated_24h,SKRUSDT,LONG,1788044414.0,2026-08-29T23:00:14+00:00,0.010649,0.009743535714285715,0.012459928571428571,8.502810458393139,17.005620916786278,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788049500,2026-08-30T00:25:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6495,overheated_24h,SKRUSDT,LONG,1788044414.0,2026-08-29T23:00:14+00:00,0.010649,0.009743535714285715,0.012459928571428571,8.502810458393139,17.005620916786278,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788049320,2026-08-30T00:22:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6499,overheated_24h,BROCCOLIF3BUSDT,LONG,1788069852.0,2026-08-30T06:04:12+00:00,0.007475,0.0072083214285714285,0.008008357142857143,3.5676063067367405,7.1352126134734934,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788070740,2026-08-30T06:19:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6499,overheated_24h,BROCCOLIF3BUSDT,LONG,1788069852.0,2026-08-30T06:04:12+00:00,0.007475,0.0072083214285714285,0.008008357142857143,3.5676063067367405,7.1352126134734934,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788070140,2026-08-30T06:09:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6499,overheated_24h,BROCCOLIF3BUSDT,LONG,1788069852.0,2026-08-30T06:04:12+00:00,0.007475,0.0072083214285714285,0.008008357142857143,3.5676063067367405,7.1352126134734934,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788070080,2026-08-30T06:08:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6524,overheated_24h,ZKCUSDT,LONG,1788071156.0,2026-08-30T06:25:56+00:00,0.04587,0.04410321428571429,0.049403571428571436,3.851723815752592,7.703447631505199,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788075180,2026-08-30T07:33:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6524,overheated_24h,ZKCUSDT,LONG,1788071156.0,2026-08-30T06:25:56+00:00,0.04587,0.04410321428571429,0.049403571428571436,3.851723815752592,7.703447631505199,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788072120,2026-08-30T06:42:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6524,overheated_24h,ZKCUSDT,LONG,1788071156.0,2026-08-30T06:25:56+00:00,0.04587,0.04410321428571429,0.049403571428571436,3.851723815752592,7.703447631505199,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788071220,2026-08-30T06:27:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6528,overheated_24h,SKRUSDT,LONG,1788071820.0,2026-08-30T06:37:00+00:00,0.012977,0.011989142857142858,0.014952714285714288,7.61236913660432,15.224738273208654,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788083940,2026-08-30T09:59:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6528,overheated_24h,SKRUSDT,LONG,1788071820.0,2026-08-30T06:37:00+00:00,0.012977,0.011989142857142858,0.014952714285714288,7.61236913660432,15.224738273208654,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788083940,2026-08-30T09:59:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6528,overheated_24h,SKRUSDT,LONG,1788071820.0,2026-08-30T06:37:00+00:00,0.012977,0.011989142857142858,0.014952714285714288,7.61236913660432,15.224738273208654,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788083340,2026-08-30T09:49:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6529,overheated_24h,HNTUSDT,LONG,1788071828.0,2026-08-30T06:37:08+00:00,0.6088,0.5607357142857143,0.7049285714285715,7.894922094987791,15.7898441899756,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788091680,2026-08-30T12:08:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6529,overheated_24h,HNTUSDT,LONG,1788071828.0,2026-08-30T06:37:08+00:00,0.6088,0.5607357142857143,0.7049285714285715,7.894922094987791,15.7898441899756,persisted_overheated_24h,,,,,narrow-1,0.75,LOSS,1788083040,2026-08-30T09:44:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6529,overheated_24h,HNTUSDT,LONG,1788071828.0,2026-08-30T06:37:08+00:00,0.6088,0.5607357142857143,0.7049285714285715,7.894922094987791,15.7898441899756,persisted_overheated_24h,,,,,narrow-2,0.5,LOSS,1788071880,2026-08-30T06:38:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6533,overheated_24h,BROCCOLIF3BUSDT,LONG,1788073324.0,2026-08-30T07:02:04+00:00,0.007843,0.007576321428571428,0.008376357142857142,3.4002112894118497,6.800422578823699,persisted_overheated_24h,,,,,baseline,1.0,LOSS,1788073320,2026-08-30T07:02:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6533,overheated_24h,BROCCOLIF3BUSDT,LONG,1788073324.0,2026-08-30T07:02:04+00:00,0.007843,0.007576321428571428,0.008376357142857142,3.4002112894118497,6.800422578823699,persisted_overheated_24h,,,,,narrow-1,0.75,LOSS,1788073320,2026-08-30T07:02:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6533,overheated_24h,BROCCOLIF3BUSDT,LONG,1788073324.0,2026-08-30T07:02:04+00:00,0.007843,0.007576321428571428,0.008376357142857142,3.4002112894118497,6.800422578823699,persisted_overheated_24h,,,,,narrow-2,0.5,LOSS,1788073320,2026-08-30T07:02:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6540,overheated_24h,LISTAUSDT,LONG,1788074863.0,2026-08-30T07:27:43+00:00,0.07926,0.07604196428571429,0.08569607142857141,4.060100573158854,8.120201146317708,persisted_overheated_24h,,,,,baseline,1.0,LOSS,1788081900,2026-08-30T09:25:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6540,overheated_24h,LISTAUSDT,LONG,1788074863.0,2026-08-30T07:27:43+00:00,0.07926,0.07604196428571429,0.08569607142857141,4.060100573158854,8.120201146317708,persisted_overheated_24h,,,,,narrow-1,0.75,LOSS,1788080880,2026-08-30T09:08:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6540,overheated_24h,LISTAUSDT,LONG,1788074863.0,2026-08-30T07:27:43+00:00,0.07926,0.07604196428571429,0.08569607142857141,4.060100573158854,8.120201146317708,persisted_overheated_24h,,,,,narrow-2,0.5,LOSS,1788077880,2026-08-30T08:18:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6541,overheated_24h,BROCCOLIF3BUSDT,LONG,1788074867.0,2026-08-30T07:27:47+00:00,0.007452,0.007185321428571429,0.007985357142857143,3.5786174373130883,7.157234874626177,persisted_overheated_24h,,,,,baseline,1.0,LOSS,1788080640,2026-08-30T09:04:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6541,overheated_24h,BROCCOLIF3BUSDT,LONG,1788074867.0,2026-08-30T07:27:47+00:00,0.007452,0.007185321428571429,0.007985357142857143,3.5786174373130883,7.157234874626177,persisted_overheated_24h,,,,,narrow-1,0.75,LOSS,1788080580,2026-08-30T09:03:00+00:00,sl,Gate.io futures 1m
overheated_24h-db-6541,overheated_24h,BROCCOLIF3BUSDT,LONG,1788074867.0,2026-08-30T07:27:47+00:00,0.007452,0.007185321428571429,0.007985357142857143,3.5786174373130883,7.157234874626177,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788077400,2026-08-30T08:10:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6552,overheated_24h,牛来USDT,LONG,1788076947.0,2026-08-30T08:02:27+00:00,0.08276,0.0695075,0.109265,16.013170613823103,32.026341227646206,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788078960,2026-08-30T08:36:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6552,overheated_24h,牛来USDT,LONG,1788076947.0,2026-08-30T08:02:27+00:00,0.08276,0.0695075,0.109265,16.013170613823103,32.026341227646206,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788078960,2026-08-30T08:36:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6552,overheated_24h,牛来USDT,LONG,1788076947.0,2026-08-30T08:02:27+00:00,0.08276,0.0695075,0.109265,16.013170613823103,32.026341227646206,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788078900,2026-08-30T08:35:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6553,overheated_24h,ZKCUSDT,LONG,1788076950.0,2026-08-30T08:02:30+00:00,0.05161,0.049315535714285715,0.05619892857142858,4.445774628394282,8.891549256788563,persisted_overheated_24h,,,,,baseline,1.0,WIN,1788081300,2026-08-30T09:15:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6553,overheated_24h,ZKCUSDT,LONG,1788076950.0,2026-08-30T08:02:30+00:00,0.05161,0.049315535714285715,0.05619892857142858,4.445774628394282,8.891549256788563,persisted_overheated_24h,,,,,narrow-1,0.75,WIN,1788079440,2026-08-30T08:44:00+00:00,tp,Gate.io futures 1m
overheated_24h-db-6553,overheated_24h,ZKCUSDT,LONG,1788076950.0,2026-08-30T08:02:30+00:00,0.05161,0.049315535714285715,0.05619892857142858,4.445774628394282,8.891549256788563,persisted_overheated_24h,,,,,narrow-2,0.5,WIN,1788079320,2026-08-30T08:42:00+00:00,tp,Gate.io futures 1m
