strategy,activation_threshold,step_pct,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,activated_n,trail_exit_n,baseline_2r_to_alt_loss_n,baseline_sl_to_alt_positive_n
bb_squeeze_inverted_test,+0.3R,2.0,25,5.0,3.519151,-1.480849,0.2,0.140766,-0.059234,80.0,80.0,20,5,18,7,0,2
bb_squeeze_inverted_test,+0.3R,3.0,25,5.0,4.112071,-0.887929,0.2,0.164483,-0.035517,80.0,76.0,19,6,18,5,0,1
bb_squeeze_inverted_test,+0.3R,4.0,25,5.0,3.614968,-1.385032,0.2,0.144599,-0.055401,80.0,72.0,18,7,18,5,0,1
bb_squeeze_inverted_test,+0.3R,5.0,25,5.0,3.561301,-1.438699,0.2,0.142452,-0.057548,80.0,72.0,18,7,18,4,0,1
bb_squeeze_inverted_test,+0.3R,6.0,25,5.0,4.959115,-0.040885,0.2,0.198365,-0.001635,80.0,76.0,19,6,18,2,0,0
bb_squeeze_inverted_test,+0.3R,8.0,25,5.0,4.51403,-0.48597,0.2,0.180561,-0.019439,80.0,76.0,19,6,18,2,0,0
bb_squeeze_inverted_test,+0.3R,10.0,25,5.0,4.08665,-0.91335,0.2,0.163466,-0.036534,80.0,76.0,19,6,18,2,0,0
bb_squeeze_inverted_test,+0.5R,2.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,3.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,4.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,5.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,6.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,8.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.5R,10.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.75R,2.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
bb_squeeze_inverted_test,+0.75R,3.0,25,5.0,3.5,-1.5,0.2,0.14,-0.06,80.0,76.0,19,6,0,0,0,0
