tracker_id,source_demo_id,ts_open_utc,source_ts_close_utc,shadow_ts_close_utc,symbol,strategy,direction,source_is_shadow,entry_price,initial_sl_price,tp_price,step_pct,activation_label,activated,shadow_outcome,shadow_exit_method,baseline_outcome,baseline_r,shadow_r,delta_r
1,5061,2026-08-26T15:57:55+00:00,2026-08-27T13:22:39+00:00,2026-08-27T13:22:39+00:00,BICOUSDT,overheated_24h,LONG,1,0.02437,0.022521785714285713,0.02806642857142857,8.0,+0.5R,1,tp,live_price,tp,2.16425121,2.16425121,0.0
2,5094,2026-08-26T16:07:52+00:00,2026-08-28T09:12:07+00:00,2026-08-28T08:53:09+00:00,CYSUSDT,overheated_24h,LONG,1,0.7785,0.7196839285714286,0.8961321428571428,8.0,+0.5R,1,trail_stop,live_price,sl,-1.01162826,-0.08501078,0.92661748
3,5095,2026-08-26T16:07:57+00:00,2026-08-27T11:35:58+00:00,2026-08-27T11:35:58+00:00,ONGUSDT,overheated_24h,LONG,1,0.15327,0.13617964285714285,0.18745071428571428,8.0,+0.5R,0,sl,live_price,sl,-2.03740622,-2.03740622,0.0
5,5117,2026-08-27T11:46:03+00:00,2026-08-28T16:19:42+00:00,2026-08-27T21:16:56+00:00,VETUSDT,overheated_24h,LONG,1,0.006999,0.006662732142857143,0.007671535714285714,8.0,+0.5R,1,trail_stop,live_price,sl,-1.04975838,-0.02379056,1.02596782
6,5119,2026-08-27T11:46:12+00:00,2026-08-27T14:16:39+00:00,2026-08-27T14:16:39+00:00,MAGMAUSDT,overheated_24h,LONG,1,0.30728,0.28030464285714285,0.3612307142857143,8.0,+0.5R,1,tp,live_price,tp,2.07003747,2.07003747,0.0
7,5121,2026-08-27T11:46:20+00:00,2026-08-27T15:09:28+00:00,2026-08-27T15:09:28+00:00,HEMIUSDT,overheated_24h,LONG,1,0.00928,0.008434803571428572,0.010970392857142857,8.0,+0.5R,0,sl,live_price,sl,-1.05419281,-1.05419281,0.0
8,5123,2026-08-27T11:46:27+00:00,2026-08-27T17:24:11+00:00,2026-08-27T17:29:11+00:00,KMNOUSDT,overheated_24h,LONG,1,0.02789,0.026464464285714286,0.03074107142857143,8.0,+0.5R,1,tp,live_price,tp,2.0,2.02029312,0.02029312
9,5127,2026-08-27T11:46:45+00:00,2026-08-27T13:09:07+00:00,2026-08-27T13:09:35+00:00,BEAMXUSDT,overheated_24h,LONG,1,0.001932,0.0018691071428571428,0.0020577857142857143,8.0,+0.5R,1,trail_stop,live_price,sl,-1.0,-1.49460534,-0.49460534
10,5138,2026-08-27T11:51:05+00:00,2026-08-28T09:27:06+00:00,2026-08-28T09:34:39+00:00,TUTUSDT,overheated_24h,LONG,1,0.058481,0.044495428571428575,0.08645214285714285,8.0,+0.5R,0,sl,live_price,sl,-1.0,-1.00367726,-0.00367726
12,5155,2026-08-27T12:01:00+00:00,2026-08-27T18:35:02+00:00,2026-08-27T18:35:02+00:00,RUNEUSDT,overheated_24h,LONG,1,0.5716,0.5444232142857143,0.6259535714285714,8.0,+0.5R,0,sl,live_price,sl,-1.18851436,-1.18851436,0.0
