id,symbol,strategy,direction,step_pct,baseline_r,alt_r,delta_r,alt_outcome,trail_ts
2019,BULLAUSDT,overheated_24h,LONG,8.0,-1.0,2.0,3.0,tp,1786826400
3010,BIOUSDT,overheated_24h,LONG,8.0,-1.0,2.0,3.0,tp,1787364900
3526,IMXUSDT,overheated_24h,LONG,8.0,-1.0,2.0,3.0,tp,1787370000
3645,BERAUSDT,overheated_24h,LONG,8.0,-1.0,2.0,3.0,tp,1787373600
3706,THETAUSDT,overheated_24h,LONG,8.0,-1.0,2.0,3.0,tp,1787369100
2596,LAUSDT,overheated_24h,LONG,8.0,2.0,-1.0,-3.0,sl,1787111100
2573,SOXSUSDT,overheated_24h,LONG,8.0,2.0,-1.0,-3.0,sl,1787143200
2465,VVVUSDT,overheated_24h,LONG,8.0,2.0,-1.0,-3.0,sl,1787114400
2216,GPSUSDT,overheated_24h,LONG,8.0,2.0,-0.635039,-2.635039,trail_stop,1786954500
2609,HEMIUSDT,overheated_24h,LONG,8.0,2.0,-0.480839,-2.480839,trail_stop,1787205900
2538,KORUUSDT,ema_cross_confirmed,SHORT,6.0,-1.0,2.0,3.0,tp,1787098500
2898,BANANAS31USDT,ema_cross_confirmed,LONG,6.0,-1.0,2.0,3.0,tp,1787368200
2778,TRUMPUSDT,ema_cross_confirmed,LONG,6.0,-1.0,1.0,2.0,tp,1787174700
2261,币安人生USDT,ema_cross_confirmed,SHORT,6.0,-1.0,0.996304,1.996304,trail_stop,1787153700
4118,TACUSDT,ema_cross_confirmed,SHORT,6.0,-1.0,0.78783,1.78783,trail_stop,1787431200
2330,IDOLUSDT,ema_cross_confirmed,SHORT,6.0,2.0,-0.694487,-2.694487,trail_stop,1787304900
2779,TSTBSCUSDT,ema_cross_confirmed,LONG,6.0,2.0,-0.41335,-2.41335,trail_stop,1787249700
3286,GRVTUSDT,ema_cross_confirmed,SHORT,6.0,2.0,-0.38806,-2.38806,trail_stop,1787364900
2737,FARTCOINUSDT,ema_cross_confirmed,LONG,6.0,2.0,-0.2934,-2.2934,trail_stop,1787193900
2555,SOXLUSDT,ema_cross_confirmed,SHORT,6.0,2.0,0.377263,-1.622737,trail_stop,1787126400
