strategy,step_pct,range_bucket,n,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_negative_n,trail_exit_n
bb_squeeze_inverted_test,2.0,all,25,5.0,3.185407,-1.814593,0.2,0.127416,-0.072584,80.0,68.0,17,8,13
bb_squeeze_inverted_test,2.0,high,3,-0.0,0.820372,0.820372,-0.0,0.273457,0.273457,66.6667,100.0,3,0,2
bb_squeeze_inverted_test,2.0,low,21,4.5,2.164543,-2.335457,0.214286,0.103073,-0.111212,80.9524,61.9048,13,8,10
bb_squeeze_inverted_test,2.0,mid,1,0.5,0.200492,-0.299508,0.5,0.200492,-0.299508,100.0,100.0,1,0,1
bb_squeeze_inverted_test,3.0,all,25,5.0,3.064511,-1.935489,0.2,0.12258,-0.07742,80.0,68.0,17,8,10
bb_squeeze_inverted_test,3.0,high,3,-0.0,0.644608,0.644608,-0.0,0.214869,0.214869,66.6667,100.0,3,0,2
bb_squeeze_inverted_test,3.0,low,21,4.5,2.360231,-2.139769,0.214286,0.112392,-0.101894,80.9524,61.9048,13,8,7
bb_squeeze_inverted_test,3.0,mid,1,0.5,0.059673,-0.440327,0.5,0.059673,-0.440327,100.0,100.0,1,0,1
bb_squeeze_inverted_test,4.0,all,25,5.0,1.330524,-3.669476,0.2,0.053221,-0.146779,80.0,64.0,16,9,10
bb_squeeze_inverted_test,4.0,high,3,-0.0,0.609392,0.609392,-0.0,0.203131,0.203131,66.6667,100.0,3,0,2
bb_squeeze_inverted_test,4.0,low,21,4.5,0.802278,-3.697722,0.214286,0.038204,-0.176082,80.9524,61.9048,13,8,7
bb_squeeze_inverted_test,4.0,mid,1,0.5,-0.081146,-0.581146,0.5,-0.081146,-0.581146,100.0,0.0,0,1,1
bb_squeeze_inverted_test,5.0,all,25,5.0,3.561301,-1.438699,0.2,0.142452,-0.057548,80.0,72.0,18,7,4
bb_squeeze_inverted_test,5.0,high,3,-0.0,1.008052,1.008052,-0.0,0.336017,0.336017,66.6667,100.0,3,0,1
bb_squeeze_inverted_test,5.0,low,21,4.5,2.775214,-1.724786,0.214286,0.132153,-0.082133,80.9524,71.4286,15,6,2
bb_squeeze_inverted_test,5.0,mid,1,0.5,-0.221965,-0.721965,0.5,-0.221965,-0.721965,100.0,0.0,0,1,1
bb_squeeze_inverted_test,6.0,all,25,5.0,4.959115,-0.040885,0.2,0.198365,-0.001635,80.0,76.0,19,6,2
bb_squeeze_inverted_test,6.0,high,3,-0.0,0.923772,0.923772,-0.0,0.307924,0.307924,66.6667,66.6667,2,1,1
bb_squeeze_inverted_test,6.0,low,21,4.5,3.535343,-0.964657,0.214286,0.16835,-0.045936,80.9524,76.1905,16,5,1
bb_squeeze_inverted_test,6.0,mid,1,0.5,0.5,0.0,0.5,0.5,0.0,100.0,100.0,1,0,0
bb_squeeze_inverted_test,8.0,all,25,5.0,4.51403,-0.48597,0.2,0.180561,-0.019439,80.0,76.0,19,6,2
bb_squeeze_inverted_test,8.0,high,3,-0.0,0.755211,0.755211,-0.0,0.251737,0.251737,66.6667,66.6667,2,1,1
bb_squeeze_inverted_test,8.0,low,21,4.5,3.25882,-1.24118,0.214286,0.155182,-0.059104,80.9524,76.1905,16,5,1
bb_squeeze_inverted_test,8.0,mid,1,0.5,0.5,0.0,0.5,0.5,0.0,100.0,100.0,1,0,0
bb_squeeze_inverted_test,10.0,all,25,5.0,4.08665,-0.91335,0.2,0.163466,-0.036534,80.0,76.0,19,6,1
bb_squeeze_inverted_test,10.0,high,3,-0.0,0.58665,0.58665,-0.0,0.19555,0.19555,66.6667,66.6667,2,1,1
bb_squeeze_inverted_test,10.0,low,21,4.5,3.0,-1.5,0.214286,0.142857,-0.071429,80.9524,76.1905,16,5,0
bb_squeeze_inverted_test,10.0,mid,1,0.5,0.5,0.0,0.5,0.5,0.0,100.0,100.0,1,0,0
ema_cross,2.0,all,344,112.0,73.405466,-38.594534,0.325581,0.213388,-0.112193,44.186,45.6395,157,187,242
ema_cross,2.0,high,45,6.0,10.440004,4.440004,0.133333,0.232,0.098667,37.7778,60.0,27,18,37
ema_cross,2.0,low,250,101.0,58.946215,-42.053785,0.404,0.235785,-0.168215,46.8,44.0,110,140,164
ema_cross,2.0,mid,49,5.0,4.019248,-0.980752,0.102041,0.082025,-0.020015,36.7347,40.8163,20,29,41
ema_cross,3.0,all,344,112.0,99.783174,-12.216826,0.325581,0.290067,-0.035514,44.186,47.3837,163,181,203
ema_cross,3.0,high,45,6.0,14.722211,8.722211,0.133333,0.32716,0.193827,37.7778,66.6667,30,15,35
ema_cross,3.0,low,250,101.0,80.440888,-20.559112,0.404,0.321764,-0.082236,46.8,44.8,112,138,128
ema_cross,3.0,mid,49,5.0,4.620074,-0.379926,0.102041,0.094287,-0.007754,36.7347,42.8571,21,28,40
ema_cross,4.0,all,344,112.0,111.893285,-0.106715,0.325581,0.325271,-0.00031,44.186,47.093,162,182,156
ema_cross,4.0,high,45,6.0,12.55127,6.55127,0.133333,0.278917,0.145584,37.7778,60.0,27,18,33
ema_cross,4.0,low,250,101.0,92.085666,-8.914334,0.404,0.368343,-0.035657,46.8,46.0,115,135,88
ema_cross,4.0,mid,49,5.0,7.256348,2.256348,0.102041,0.148089,0.046048,36.7347,40.8163,20,29,35
ema_cross,5.0,all,344,112.0,123.570962,11.570962,0.325581,0.359218,0.033637,44.186,46.5116,160,184,120
ema_cross,5.0,high,45,6.0,11.121714,5.121714,0.133333,0.247149,0.113816,37.7778,51.1111,23,22,31
ema_cross,5.0,low,250,101.0,102.742527,1.742527,0.404,0.41097,0.00697,46.8,46.4,116,134,60
ema_cross,5.0,mid,49,5.0,9.706721,4.706721,0.102041,0.198096,0.096056,36.7347,42.8571,21,28,29
ema_cross,6.0,all,344,112.0,120.980171,8.980171,0.325581,0.351687,0.026105,44.186,45.6395,157,187,96
ema_cross,6.0,high,45,6.0,6.444911,0.444911,0.133333,0.14322,0.009887,37.7778,42.2222,19,26,31
ema_cross,6.0,low,250,101.0,104.252613,3.252613,0.404,0.41701,0.01301,46.8,47.6,119,131,42
ema_cross,6.0,mid,49,5.0,10.282647,5.282647,0.102041,0.20985,0.107809,36.7347,38.7755,19,30,23
ema_cross,8.0,all,344,112.0,119.097855,7.097855,0.325581,0.346215,0.020633,44.186,44.186,152,192,63
ema_cross,8.0,high,45,6.0,1.395339,-4.604661,0.133333,0.031008,-0.102326,37.7778,31.1111,14,31,26
ema_cross,8.0,low,250,101.0,108.32141,7.32141,0.404,0.433286,0.029286,46.8,47.6,119,131,23
ema_cross,8.0,mid,49,5.0,9.381105,4.381105,0.102041,0.191451,0.08941,36.7347,38.7755,19,30,14
ema_cross,10.0,all,344,112.0,116.89358,4.89358,0.325581,0.339807,0.014226,44.186,44.186,152,192,43
ema_cross,10.0,high,45,6.0,5.928092,-0.071908,0.133333,0.131735,-0.001598,37.7778,37.7778,17,28,19
ema_cross,10.0,low,250,101.0,102.821848,1.821848,0.404,0.411287,0.007287,46.8,46.0,115,135,15
ema_cross,10.0,mid,49,5.0,8.143641,3.143641,0.102041,0.166197,0.064156,36.7347,40.8163,20,29,9
ema_cross_confirmed,2.0,all,129,88.5,39.396883,-49.103117,0.686047,0.305402,-0.380644,56.5891,53.4884,69,60,100
ema_cross_confirmed,2.0,high,11,-6.0,-0.468346,5.531654,-0.545455,-0.042577,0.502878,18.1818,45.4545,5,6,9
ema_cross_confirmed,2.0,low,103,97.5,40.296053,-57.203947,0.946602,0.391224,-0.555378,65.0485,54.3689,56,47,79
ema_cross_confirmed,2.0,mid,15,-3.0,-0.430824,2.569176,-0.2,-0.028722,0.171278,26.6667,53.3333,8,7,12
ema_cross_confirmed,3.0,all,129,88.5,62.857435,-25.642565,0.686047,0.487267,-0.19878,56.5891,58.1395,75,54,83
ema_cross_confirmed,3.0,high,11,-6.0,-0.715132,5.284868,-0.545455,-0.065012,0.480443,18.1818,54.5455,6,5,9
ema_cross_confirmed,3.0,low,103,97.5,62.934143,-34.565857,0.946602,0.611011,-0.335591,65.0485,59.2233,61,42,62
ema_cross_confirmed,3.0,mid,15,-3.0,0.638423,3.638423,-0.2,0.042562,0.242562,26.6667,53.3333,8,7,12
ema_cross_confirmed,4.0,all,129,88.5,97.270011,8.770011,0.686047,0.754031,0.067985,56.5891,63.5659,82,47,62
