strategy,step_pct,n_unique_signals,baseline_avg_r,trailing_avg_r,delta_avg_r,ci_low,ci_high,ci_width,ci_crosses_zero,selected_step,neighbor_steps_pct,neighbor_ci_overlap,same_sign_as_neighbors,bootstrap_iterations,bootstrap_seed
ema_cross_confirmed,2.0,42,0.6190476190476191,0.22876847180696447,-0.39027914724065454,-0.7631873896383201,-0.02332589675922462,0.7398614928790955,False,False,3,True,True,20000,20260826
ema_cross_confirmed,3.0,42,0.6190476190476191,0.3915387190603664,-0.22750889998725257,-0.5511208575896123,0.0793249109084786,0.6304457684980909,True,False,"2,4",True,False,20000,20260827
ema_cross_confirmed,4.0,42,0.6190476190476191,0.6827946921155762,0.06374707306795709,-0.24763054524171446,0.3680719196581939,0.6157024648999083,True,False,"3,5",True,False,20000,20260828
ema_cross_confirmed,5.0,42,0.6190476190476191,0.7970285650962924,0.17798094604867348,-0.10678256632158416,0.4587981345579903,0.5655807008795745,True,False,"4,6",True,True,20000,20260829
ema_cross_confirmed,6.0,42,0.6190476190476191,0.8357945779072847,0.2167469588596657,0.0014759507706073652,0.4495348474068859,0.4480588966362785,False,True,"5,8",True,True,20000,20260830
ema_cross_confirmed,8.0,42,0.6190476190476191,0.7652611371162872,0.14621351806866797,-0.04459688681262227,0.3653967456201132,0.40999363243273546,True,False,"6,10",True,True,20000,20260831
ema_cross_confirmed,10.0,42,0.6190476190476191,0.826174821879429,0.2071272028318101,0.04352874177265405,0.42554524489389334,0.3820165031212393,False,False,8,True,True,20000,20260832
overheated_24h,2.0,263,0.1634980988593156,0.15324969096417237,-0.010248407895143023,-0.17429933988739887,0.15043549191860492,0.3247348318060038,True,False,3,True,False,20000,20260833
overheated_24h,3.0,263,0.1634980988593156,0.21180882957303077,0.0483107307137151,-0.10637022588541806,0.20494829374693035,0.3113185196323484,True,False,"2,4",True,False,20000,20260834
overheated_24h,4.0,263,0.1634980988593156,0.3199596794457561,0.15646158058644022,0.016128002664653952,0.29768878457032305,0.2815607819056691,False,False,"3,5",True,True,20000,20260835
overheated_24h,5.0,263,0.1634980988593156,0.351357090496265,0.1878589916369493,0.061020002991164994,0.31485640512910734,0.25383640213794234,False,False,"4,6",True,True,20000,20260836
overheated_24h,6.0,263,0.1634980988593156,0.3513358049201163,0.18783770606080064,0.07214826211917938,0.30569671915736396,0.23354845703818458,False,False,"5,8",True,True,20000,20260837
overheated_24h,8.0,263,0.1634980988593156,0.37942236679239877,0.2159242679330832,0.11390585358518664,0.3228515197075277,0.20894566612234106,False,True,"6,10",True,True,20000,20260838
overheated_24h,10.0,263,0.1634980988593156,0.34628594504251126,0.18278784618319538,0.08035054539404977,0.2901140804141381,0.20976353502008832,False,False,8,True,True,20000,20260839
