sample,strategy,step_pct,n,n_signals,n_usable,n_coverage_error,baseline_total_r,alt_total_r,delta_total_r,baseline_avg_r,alt_avg_r,delta_avg_r,baseline_wr_pct,alt_wr_pct,alt_positive_n,alt_non_positive_n,trail_exit_n,sample_status
all,overheated_24h,2.0,408,408,408,0,83.8,65.174817,-18.625183,0.205392,0.159742,-0.04565,40.4412,49.5098,202,206,331,ready
filtered,overheated_24h,2.0,263,263,263,0,43.0,40.304669,-2.695331,0.163498,0.15325,-0.010248,38.7833,48.6692,128,135,217,ready
all,overheated_24h,3.0,408,408,408,0,83.8,73.397377,-10.402623,0.205392,0.179896,-0.025497,40.4412,48.2843,197,211,304,ready
filtered,overheated_24h,3.0,263,263,263,0,43.0,55.705722,12.705722,0.163498,0.211809,0.048311,38.7833,49.4297,130,133,195,ready
all,overheated_24h,4.0,408,408,408,0,83.8,107.845191,24.045191,0.205392,0.264326,0.058934,40.4412,47.0588,192,216,250,ready
filtered,overheated_24h,4.0,263,263,263,0,43.0,84.149396,41.149396,0.163498,0.31996,0.156462,38.7833,50.9506,134,129,158,ready
all,overheated_24h,5.0,408,408,408,0,83.8,115.999125,32.199125,0.205392,0.284312,0.078919,40.4412,47.0588,192,216,212,ready
filtered,overheated_24h,5.0,263,263,263,0,43.0,92.406915,49.406915,0.163498,0.351357,0.187859,38.7833,50.5703,133,130,132,ready
all,overheated_24h,6.0,408,408,408,0,83.8,117.696978,33.896978,0.205392,0.288473,0.083081,40.4412,45.3431,185,223,180,ready
filtered,overheated_24h,6.0,263,263,263,0,43.0,92.401317,49.401317,0.163498,0.351336,0.187838,38.7833,48.6692,128,135,112,ready
all,overheated_24h,8.0,408,408,408,0,83.8,129.885425,46.085425,0.205392,0.318347,0.112954,40.4412,44.3627,181,227,102,ready
filtered,overheated_24h,8.0,263,263,263,0,43.0,99.788082,56.788082,0.163498,0.379422,0.215924,38.7833,46.7681,123,140,65,ready
all,overheated_24h,10.0,408,408,408,0,83.8,118.41542,34.61542,0.205392,0.290234,0.084842,40.4412,42.402,173,235,71,ready
filtered,overheated_24h,10.0,263,263,263,0,43.0,91.073204,48.073204,0.163498,0.346286,0.182788,38.7833,43.7262,115,148,46,ready
all,ema_cross_confirmed,2.0,129,129,129,0,88.5,39.396883,-49.103117,0.686047,0.305402,-0.380644,56.5891,53.4884,69,60,100,ready
filtered,ema_cross_confirmed,2.0,42,42,42,0,26.0,9.608276,-16.391724,0.619048,0.228768,-0.390279,54.7619,52.381,22,20,32,ready
all,ema_cross_confirmed,3.0,129,129,129,0,88.5,62.857435,-25.642565,0.686047,0.487267,-0.19878,56.5891,58.1395,75,54,83,ready
filtered,ema_cross_confirmed,3.0,42,42,42,0,26.0,16.444626,-9.555374,0.619048,0.391539,-0.227509,54.7619,57.1429,24,18,28,ready
all,ema_cross_confirmed,4.0,129,129,129,0,88.5,97.270011,8.770011,0.686047,0.754031,0.067985,56.5891,63.5659,82,47,62,ready
filtered,ema_cross_confirmed,4.0,42,42,42,0,26.0,28.677377,2.677377,0.619048,0.682795,0.063747,54.7619,59.5238,25,17,20,ready
all,ema_cross_confirmed,5.0,129,129,129,0,88.5,103.706396,15.206396,0.686047,0.803926,0.117879,56.5891,64.3411,83,46,52,ready
filtered,ema_cross_confirmed,5.0,42,42,42,0,26.0,33.4752,7.4752,0.619048,0.797029,0.177981,54.7619,64.2857,27,15,17,ready
all,ema_cross_confirmed,6.0,129,129,129,0,88.5,109.014206,20.514206,0.686047,0.845071,0.159025,56.5891,62.0155,80,49,45,ready
filtered,ema_cross_confirmed,6.0,42,42,42,0,26.0,35.103372,9.103372,0.619048,0.835795,0.216747,54.7619,61.9048,26,16,14,ready
all,ema_cross_confirmed,8.0,129,129,129,0,88.5,104.141516,15.641516,0.686047,0.807299,0.121252,56.5891,61.2403,79,50,35,ready
filtered,ema_cross_confirmed,8.0,42,42,42,0,26.0,32.140968,6.140968,0.619048,0.765261,0.146214,54.7619,59.5238,25,17,10,ready
all,ema_cross_confirmed,10.0,129,129,129,0,88.5,104.570894,16.070894,0.686047,0.810627,0.124581,56.5891,59.6899,77,52,23,ready
filtered,ema_cross_confirmed,10.0,42,42,42,0,26.0,34.699343,8.699343,0.619048,0.826175,0.207127,54.7619,59.5238,25,17,6,ready
