id,strategy,direction,regime,regime_reason,cohort,prior_cohort_n,prior_cohort_wins,prior_cohort_losses,historical_wr_pct,filter_pass,filter_reason
680,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,0,0,0,,no,no_history
699,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,1,1,0,100.0,no,insufficient_history
712,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,2,1,1,50.0,no,insufficient_history
828,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,0,0,0,,no,no_history
1338,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,1,0,1,0.0,no,insufficient_history
1505,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,2,1,1,50.0,no,insufficient_history
1546,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,3,2,1,66.6667,no,insufficient_history
1550,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,3,2,1,66.6667,no,insufficient_history
1563,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,4,2,2,50.0,no,insufficient_history
1694,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,6,3,3,50.0,no,insufficient_history
1795,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,7,3,4,42.8571,no,insufficient_history
1796,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,7,3,4,42.8571,no,insufficient_history
1804,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,7,3,4,42.8571,no,insufficient_history
1806,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,9,4,5,44.4444,no,insufficient_history
1812,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,11,5,6,45.4545,no,insufficient_history
1815,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,12,6,6,50.0,no,insufficient_history
1816,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,12,6,6,50.0,no,insufficient_history
1826,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,14,6,8,42.8571,no,insufficient_history
1827,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,14,6,8,42.8571,no,insufficient_history
1846,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,15,7,8,46.6667,no,insufficient_history
1930,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1931,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1932,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1933,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1937,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1940,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1944,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1948,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,17,8,9,47.0588,no,insufficient_history
1954,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,18,8,10,44.4444,no,insufficient_history
1962,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,20,9,11,45.0,yes,passes
1966,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,21,9,12,42.8571,yes,passes
1967,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,21,9,12,42.8571,yes,passes
1971,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,24,10,14,41.6667,yes,passes
1973,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,27,10,17,37.037,yes,passes
1974,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,27,10,17,37.037,yes,passes
1976,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,27,10,17,37.037,yes,passes
1997,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,29,11,18,37.931,yes,passes
2008,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,29,11,18,37.931,yes,passes
2009,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,29,11,18,37.931,yes,passes
2017,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,31,12,19,38.7097,yes,passes
2019,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,31,12,19,38.7097,yes,passes
2022,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,35,12,23,34.2857,no,below_threshold
2025,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,35,12,23,34.2857,no,below_threshold
2047,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,36,12,24,33.3333,no,below_threshold
2103,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,38,13,25,34.2105,no,below_threshold
2123,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,38,13,25,34.2105,no,below_threshold
2126,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,39,13,26,33.3333,no,below_threshold
2139,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,40,13,27,32.5,no,below_threshold
2157,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,42,14,28,33.3333,no,below_threshold
2160,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,42,14,28,33.3333,no,below_threshold
2161,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,43,14,29,32.5581,no,below_threshold
2183,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,44,14,30,31.8182,no,below_threshold
2185,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,45,14,31,31.1111,no,below_threshold
2191,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,45,14,31,31.1111,no,below_threshold
2212,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,46,14,32,30.4348,no,below_threshold
2216,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,47,14,33,29.7872,no,below_threshold
2218,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,47,14,33,29.7872,no,below_threshold
2241,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,49,15,34,30.6122,no,below_threshold
2243,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,49,15,34,30.6122,no,below_threshold
2249,overheated_24h,LONG,bear,,overheated_24h|LONG|bear,49,15,34,30.6122,no,below_threshold
2261,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2262,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2271,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2274,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2277,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2278,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2283,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2295,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2309,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2310,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2311,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2312,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2314,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,3,1,2,33.3333,no,insufficient_history
2320,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,0,0,0,,no,no_history
2324,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,4,1,3,25.0,no,insufficient_history
2326,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,4,1,3,25.0,no,insufficient_history
2330,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2333,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,0,0,0,,no,no_history
2349,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,0,0,0,,no,no_history
2353,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2372,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2376,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,0,0,0,,no,no_history
2383,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,6,1,5,16.6667,no,insufficient_history
2394,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,7,2,5,28.5714,no,insufficient_history
2395,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2418,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,11,2,9,18.1818,no,insufficient_history
2429,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2434,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2443,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,12,2,10,16.6667,no,insufficient_history
2446,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2447,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,4,0,4,0.0,no,insufficient_history
2448,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2457,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2459,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2460,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,4,0,4,0.0,no,insufficient_history
2465,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,14,2,12,14.2857,no,insufficient_history
2473,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2503,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2505,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,14,2,12,14.2857,no,insufficient_history
2507,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2509,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,14,2,12,14.2857,no,insufficient_history
2523,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,4,0,4,0.0,no,insufficient_history
2528,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2531,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2533,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,16,3,13,18.75,no,insufficient_history
2534,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2535,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,16,3,13,18.75,no,insufficient_history
2538,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,0,0,0,,no,no_history
2551,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,16,3,13,18.75,no,insufficient_history
2555,ema_cross_confirmed,SHORT,bull,,ema_cross_confirmed|SHORT|bull,2,0,2,0.0,no,insufficient_history
2563,overheated_24h,LONG,bull,,overheated_24h|LONG|bull,16,3,13,18.75,no,insufficient_history
2570,ema_cross_confirmed,LONG,bull,,ema_cross_confirmed|LONG|bull,4,0,4,0.0,no,insufficient_history
