id,ts_open,ts_open_utc,symbol,direction,alert_type,entry_price,sl_price,tp_price,outcome,exit_ts,exit_ts_utc,r,reason,opposite_within_60m,opposite_ts,opposite_alert_type,range_24h_pct,range_bucket,status_existing,ts_close_existing,exit_price_existing
668,1786303310,2026-08-09T19:21:50+00:00,MAGMAUSDT,LONG,oversold_24h,0.195,0.190125,0.2028,sl_first,1786319100,2026-08-09T23:45:00+00:00,-1.0,stop_touch,no,,,23.2477,below_50%,sl,1786334550,0.18635
670,1786303316,2026-08-09T19:21:56+00:00,SLXUSDT,LONG,oversold_24h,0.07835,0.07639125000000001,0.081484,sl_first,1786320900,2026-08-10T00:15:00+00:00,-1.0,stop_touch,no,,,15.5889,below_50%,sl,1786342667,0.07607
671,1786303348,2026-08-09T19:22:28+00:00,RIVERUSDT,LONG,oversold_24h,2.659,2.5925249999999997,2.76536,sl_first,1786318200,2026-08-09T23:30:00+00:00,-1.0,stop_touch,no,,,14.5913,below_50%,tp,1786350891,2.766
673,1786303895,2026-08-09T19:31:35+00:00,MAGMAUSDT,LONG,oversold_24h,0.19433,0.18947175,0.2021032,sl_first,1786320000,2026-08-10T00:00:00+00:00,-1.0,stop_touch,no,,,23.2477,below_50%,sl,1786334550,0.18635
675,1786303908,2026-08-09T19:31:48+00:00,SLXUSDT,LONG,oversold_24h,0.07795,0.07600125,0.08106800000000002,sl_first,1786320900,2026-08-10T00:15:00+00:00,-1.0,stop_touch,no,,,15.2425,below_50%,sl,1786353233,0.076
676,1786303914,2026-08-09T19:31:54+00:00,GWEIUSDT,LONG,oversold_24h,0.021428,0.0208923,0.02228512,tp_first,1786326300,2026-08-10T01:45:00+00:00,1.5999999999999988,target_touch,no,,,27.8259,below_50%,tp,1786334550,0.024126
677,1786303954,2026-08-09T19:32:34+00:00,RIVERUSDT,LONG,oversold_24h,2.66,2.5935,2.7664000000000004,sl_first,1786318200,2026-08-09T23:30:00+00:00,-1.0,stop_touch,no,,,14.5913,below_50%,tp,1786351340,2.774
678,1786304481,2026-08-09T19:41:21+00:00,GWEIUSDT,LONG,oversold_24h,0.021312,0.0207792,0.02216448,tp_first,1786324500,2026-08-10T01:15:00+00:00,1.5999999999999988,target_touch,no,,,27.8259,below_50%,tp,1786334550,0.024126
679,1786304494,2026-08-09T19:41:34+00:00,MAGMAUSDT,LONG,oversold_24h,0.19376,0.18891599999999997,0.2015104,sl_first,1786320000,2026-08-10T00:00:00+00:00,-1.0,stop_touch,no,,,23.2477,below_50%,sl,1786334550,0.18635
680,1786304540,2026-08-09T19:42:20+00:00,BOMEUSDT,LONG,overheated_24h,0.000781,0.000761475,0.00081224,tp_first,1786306500,2026-08-09T20:15:00+00:00,1.5999999999999945,target_touch,no,,,27.0257,below_50%,tp,1786306027,0.0008123
681,1786304558,2026-08-09T19:42:38+00:00,RIVERUSDT,LONG,oversold_24h,2.656,2.5896,2.7622400000000003,sl_first,1786318200,2026-08-09T23:30:00+00:00,-1.0,stop_touch,no,,,14.5913,below_50%,tp,1786350831,2.764
683,1786304587,2026-08-09T19:43:07+00:00,SLXUSDT,LONG,oversold_24h,0.07766,0.07571850000000001,0.08076640000000002,sl_first,1786322700,2026-08-10T00:45:00+00:00,-1.0,stop_touch,no,,,15.2425,below_50%,sl,1786432115,0.07567
685,1786305107,2026-08-09T19:51:47+00:00,RIVERUSDT,LONG,oversold_24h,2.651,2.5847249999999997,2.75704,sl_first,1786318200,2026-08-09T23:30:00+00:00,-1.0,stop_touch,no,,,14.5913,below_50%,tp,1786350780,2.762
