scope,strategy,direction,trend_regime,n,wins,losses,resolved_wr_pct,avg_r,sample_status
overall,ALL,LONG,bear,751,282,469,37.55,0.1165,ready
overall,ALL,LONG,bull,1798,810,988,45.05,0.2967,ready
overall,ALL,SHORT,bear,486,141,345,29.01,-0.2146,ready
overall,ALL,SHORT,bull,632,149,483,23.58,-0.5415,ready
strategy,bb_squeeze,LONG,bear,173,62,111,35.84,0.2672,ready
strategy,bb_squeeze,LONG,bull,300,89,211,29.67,-0.182,ready
strategy,bb_squeeze,SHORT,bear,168,57,111,33.93,-0.1033,ready
strategy,bb_squeeze,SHORT,bull,268,41,227,15.3,-1.0091,ready
strategy,bb_squeeze_inverted_test,LONG,bear,0,0,0,,,insufficient_sample
strategy,bb_squeeze_inverted_test,LONG,bull,90,76,14,84.44,0.5298,ready
strategy,confluence,LONG,bear,218,80,138,36.7,0.0983,ready
strategy,confluence,LONG,bull,30,7,23,23.33,-0.3765,ready
strategy,confluence,SHORT,bear,236,62,174,26.27,-0.296,ready
strategy,confluence,SHORT,bull,10,1,9,10.0,-0.7999,insufficient_sample
strategy,ema_cross,LONG,bear,62,23,39,37.1,0.0059,ready
strategy,ema_cross,LONG,bull,162,93,69,57.41,0.7448,ready
strategy,ema_cross,SHORT,bear,27,8,19,29.63,-0.1105,ready
strategy,ema_cross,SHORT,bull,134,42,92,31.34,-0.1608,ready
strategy,ema_cross_confirmed,LONG,bear,0,0,0,,,insufficient_sample
strategy,ema_cross_confirmed,LONG,bull,94,67,27,71.28,1.1802,ready
strategy,ema_cross_confirmed,SHORT,bear,0,0,0,,,insufficient_sample
strategy,ema_cross_confirmed,SHORT,bull,50,11,39,22.0,-0.4585,ready
strategy,high_rejection_short,SHORT,bear,0,0,0,,,insufficient_sample
strategy,high_rejection_short,SHORT,bull,75,24,51,32.0,-0.0668,ready
strategy,liq_reversal,LONG,bear,1,0,1,0.0,-1.0,insufficient_sample
strategy,liq_reversal,LONG,bull,3,2,1,66.67,0.3067,insufficient_sample
strategy,low_rejection_long,LONG,bear,0,0,0,,,insufficient_sample
strategy,low_rejection_long,LONG,bull,35,13,22,37.14,0.0077,ready
strategy,overheated_24h,LONG,bear,57,19,38,33.33,-0.1435,ready
strategy,overheated_24h,LONG,bull,374,158,216,42.25,0.2761,ready
strategy,overheated_confirmed,LONG,bear,0,0,0,,,insufficient_sample
strategy,overheated_confirmed,LONG,bull,221,95,126,42.99,0.2833,ready
strategy,overheated_early,LONG,bear,2,1,1,50.0,0.5154,insufficient_sample
strategy,overheated_early,LONG,bull,195,89,106,45.64,0.4356,ready
strategy,oversold_24h,LONG,bear,235,95,140,40.43,0.1031,ready
strategy,oversold_24h,LONG,bull,281,118,163,41.99,0.2568,ready
strategy,pump_24h_fade,SHORT,bear,45,11,34,24.44,-0.2773,ready
strategy,pump_24h_fade,SHORT,bull,69,23,46,33.33,-0.1061,ready
strategy,pump_fade_confirmed,SHORT,bear,1,1,0,100.0,2.0155,insufficient_sample
strategy,pump_fade_confirmed,SHORT,bull,21,7,14,33.33,-0.0219,ready
strategy,range_breakout_long,LONG,bear,0,0,0,,,insufficient_sample
strategy,range_breakout_long,LONG,bull,8,2,6,25.0,-0.2758,insufficient_sample
strategy,streak_1h,LONG,bear,2,1,1,50.0,0.8128,insufficient_sample
strategy,streak_1h,LONG,bull,2,0,2,0.0,-1.02,insufficient_sample
strategy,streak_1h,SHORT,bear,8,1,7,12.5,-0.8045,insufficient_sample
strategy,streak_1h,SHORT,bull,1,0,1,0.0,-1.0782,insufficient_sample
strategy,vwap_reversion,LONG,bear,1,1,0,100.0,1.7054,insufficient_sample
strategy,vwap_reversion,LONG,bull,3,1,2,33.33,0.028,insufficient_sample
strategy,vwap_reversion,SHORT,bear,1,1,0,100.0,2.8233,insufficient_sample
strategy,vwap_reversion,SHORT,bull,4,0,4,0.0,-1.3682,insufficient_sample
